City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,qaqortoq,60.7167,-46.0333,6.3,66,6,3.06,GL,1686501283
120,neryungri,56.6709,124.6491,15.35,63,93,1.14,RU,1686501283
121,maumere,-8.6199,122.2111,25.32,77,100,2.21,ID,1686501283
122,college,64.8569,-147.8028,15.32,47,75,4.12,US,1686501284
123,punta arenas,-53.15,-70.9167,4.06,65,20,9.77,CL,1686501115
124,bima,-8.4667,118.7167,23.3,95,78,1.63,ID,1686501284
125,sao sepe,-30.1606,-53.5653,12.77,58,99,2.6,BR,1686501284
126,assab,13.0092,42.7394,31.59,75,98,10.01,ER,1686501284
127,sarkand,45.41,79.9186,17.12,76,31,1.29,KZ,1686501284
128,tralee,52.2704,-9.7026,21.14,73,75,4.12,IE,1686501284
129,port douglas,-16.4833,145.4667,20.99,84,40,2.57,AU,1686501284
130,villa bruzual,9.3328,-69.1208,30.09,69,30,1.3,VE,1686501285
131,hamilton,39.1834,-84.5333,20.12,94,100,0.89,US,1686500920
132,isangel,-19.55,169.2667,20.63,75,26,4.78,VU,1686501285
133,mata-utu,-13.2816,-176.1745,28.1,80,13,8.55,WF,1686501285
134,farafangana,-22.8167,47.8333,21.79,86,0,1.92,MG,1686501285
135,san andres,12.5847,-81.7006,32.01,70,20,2.57,CO,1686501285
136,polyarnyy,69.1989,33.4478,16.68,48,83,2.2,RU,1686501285
137,talnakh,69.4865,88.3972,10.67,69,66,4.37,RU,1686501286
138,zhezqazghan,47.7833,67.7667,22.97,22,37,5.53,KZ,1686501286
139,floro,61.5996,5.0328,24.04,48,98,4.63,NO,1686501286
140,cozumel,20.5083,-86.9458,32.19,77,40,4.63,MX,1686501263
141,magadan,59.5667,150.8,5.82,93,89,1.34,RU,1686501286
142,smirnovo,54.5125,69.4222,15.55,91,64,3.69,KZ,1686501286
143,thompson,55.7435,-97.8558,22.09,46,75,4.63,CA,1686501286
144,yuzhno-kurilsk,44.0306,145.8556,11.03,99,100,3.7,RU,1686501286
145,puerto cabezas,14.0351,-83.3888,30.98,79,40,2.06,NI,1686501286
146,mahanoro,-19.9,48.8,21.0,86,0,0.76,MG,1686501287
147,sint michiel liber,12.15,-68.9833,31.9,58,40,8.23,CW,1686501287
148,atafu village,-8.5421,-172.5159,28.67,76,100,7.02,TK,1686501287
149,al burayqah,30.4062,19.5739,26.42,60,17,6.73,LY,1686501287
150,richards bay,-28.783,32.0377,18.75,82,0,4.38,ZA,1686501287
151,ndele,8.4109,20.6473,26.22,72,50,1.69,CF,1686501287
152,kailua-kona,19.6406,-155.9956,22.98,93,75,4.12,US,1686501287
153,waat,51.1454,6.4958,30.68,40,0,4.12,DE,1686501287
154,ambon,-3.6954,128.1814,28.08,42,40,2.57,ID,1686501198
155,farsan,32.2569,50.561,24.02,30,0,1.74,IR,1686501288
156,kostomuksha,64.571,30.5767,18.83,46,87,3.79,RU,1686501288
157,whitehorse,60.7161,-135.0538,10.61,53,75,6.17,CA,1686500581
158,conceicao da barra,-18.5933,-39.7322,27.53,62,20,4.9,BR,1686501288
159,avarua,-21.2078,-159.775,20.03,100,0,2.06,CK,1686501288
160,mount pearl,47.5166,-52.7813,8.19,93,100,3.6,CA,1686501003
161,bayside,40.8424,-124.0637,13.27,92,100,0.0,US,1686501289
162,tekkali,18.6167,84.2333,31.91,53,57,3.15,IN,1686501289
163,asekeyevo,53.5742,52.7972,13.23,60,100,4.04,RU,1686501289
